User ID,First Name,Last Name,Email,Phone Number,Address,Account Number,Card Number,Account Balance
1,John,Doe,johndoe@example.com,555-1234,123 Main St,123456789,1.11E+15,1000
2,Jane,Smith,janesmith@example.com,555-5678,456 Elm St,987654321,4.44E+15,500.5
3,Alice,Johnson,alicejohnson@example.com,555-9876,789 Oak St,135792468,8.89E+15,750.25
4,Bob,Brown,bobbrown@example.com,555-4321,321 Pine St,246813579,5.56E+15,1200.75
5,Mary,Davis,marydavis@example.com,555-8765,654 Cedar St,987654321,2.22E+15,300
6,James,Miller,jamesmiller@example.com,555-1357,987 Maple St,111222333,6.67E+15,1500.5
7,Lisa,Williams,lisawilliams@example.com,555-2468,753 Birch St,444555666,1.00E+16,200.25
8,Michael,Jones,michaeljones@example.com,555-1111,852 Walnut St,777888999,3.33E+15,1800.75
9,Susan,Wilson,susanwilson@example.com,555-2222,369 Pineapple St,888777666,5.56E+15,700
10,Karen,Taylor,karentaylor@example.com,555-3333,741 Banana St,555444333,4.44E+15,950.5
11,David,Anderson,davidanderson@example.com,555-4444,852 Orange St,222333444,7.78E+15,850.25
12,Linda,Thomas,lindathomas@example.com,555-5555,963 Lemon St,333444555,2.22E+15,120.75
13,Paul,Roberts,paulroberts@example.com,555-6666,147 Grape St,444555666,6.67E+15,2000
14,Anna,White,annawhite@example.com,555-7777,258 Peach St,555666777,1.11E+15,430.5
15,Mark,Young,markyoung@example.com,555-8888,369 Apple St,666777888,8.89E+15,760.25
