User ID,First Name,Last Name,Email,Phone Number,Address,Account Number,Card Number,Account Balance
1,John,Doe,*******@example.com,XXXX1234,123 Main St,XXXXX6789,1110000000000000.0,1000.0
2,Jane,Smith,*********@example.com,XXXX5678,456 Elm St,XXXXX4321,4440000000000000.0,500.5
3,Alice,Johnson,************@example.com,XXXX9876,789 Oak St,XXXXX2468,8890000000000000.0,750.25
4,Bob,Brown,********@example.com,XXXX4321,321 Pine St,XXXXX3579,5560000000000000.0,1200.75
5,Mary,Davis,*********@example.com,XXXX8765,654 Cedar St,XXXXX4321,2220000000000000.0,300.0
6,James,Miller,***********@example.com,XXXX1357,987 Maple St,XXXXX2333,6670000000000000.0,1500.5
7,Lisa,Williams,************@example.com,XXXX2468,753 Birch St,XXXXX5666,1e+16,200.25
8,Michael,Jones,************@example.com,XXXX1111,852 Walnut St,XXXXX8999,3330000000000000.0,1800.75
9,Susan,Wilson,***********@example.com,XXXX2222,369 Pineapple St,XXXXX7666,5560000000000000.0,700.0
10,Karen,Taylor,***********@example.com,XXXX3333,741 Banana St,XXXXX4333,4440000000000000.0,950.5
11,David,Anderson,*************@example.com,XXXX4444,852 Orange St,XXXXX3444,7780000000000000.0,850.25
12,Linda,Thomas,***********@example.com,XXXX5555,963 Lemon St,XXXXX4555,2220000000000000.0,120.75
13,Paul,Roberts,***********@example.com,XXXX6666,147 Grape St,XXXXX5666,6670000000000000.0,2000.0
14,Anna,White,*********@example.com,XXXX7777,258 Peach St,XXXXX6777,1110000000000000.0,430.5
15,Mark,Young,*********@example.com,XXXX8888,369 Apple St,XXXXX7888,8890000000000000.0,760.25
