,User ID,First Name,Last Name,Email,Phone Number,Address,Account Number,Card Number,Account Balance
0,1,John,Doe,*******@example.com,555-1234,123 Main St,123456789,1110000000000000.0,1000.0
1,2,Jane,Smith,*********@example.com,555-5678,456 Elm St,987654321,4440000000000000.0,500.5
2,3,Alice,Johnson,************@example.com,555-9876,789 Oak St,135792468,8890000000000000.0,750.25
3,4,Bob,Brown,********@example.com,555-4321,321 Pine St,246813579,5560000000000000.0,1200.75
4,5,Mary,Davis,*********@example.com,555-8765,654 Cedar St,987654321,2220000000000000.0,300.0
5,6,James,Miller,***********@example.com,555-1357,987 Maple St,111222333,6670000000000000.0,1500.5
6,7,Lisa,Williams,************@example.com,555-2468,753 Birch St,444555666,1e+16,200.25
7,8,Michael,Jones,************@example.com,555-1111,852 Walnut St,777888999,3330000000000000.0,1800.75
8,9,Susan,Wilson,***********@example.com,555-2222,369 Pineapple St,888777666,5560000000000000.0,700.0
9,10,Karen,Taylor,***********@example.com,555-3333,741 Banana St,555444333,4440000000000000.0,950.5
10,11,David,Anderson,*************@example.com,555-4444,852 Orange St,222333444,7780000000000000.0,850.25
11,12,Linda,Thomas,***********@example.com,555-5555,963 Lemon St,333444555,2220000000000000.0,120.75
12,13,Paul,Roberts,***********@example.com,555-6666,147 Grape St,444555666,6670000000000000.0,2000.0
13,14,Anna,White,*********@example.com,555-7777,258 Peach St,555666777,1110000000000000.0,430.5
14,15,Mark,Young,*********@example.com,555-8888,369 Apple St,666777888,8890000000000000.0,760.25
